job_id,job_title,company,industry,country,region,experience_level,remote_type,salary_usd,ai_skills_required,num_ai_skills,applicants,source_platform,posting_date
JOB00013,AI Solutions Consultant,CortexSystems,Cybersecurity,United States,North America,Entry,Hybrid,80000,"Docker, R, Statistics",3,56.0,AngelList,2025-02-12
JOB00014,Data Engineer (AI Systems),NovaAnalytics,Education,Germany,Europe,Entry,Hybrid,58000,"Data Visualization, Power BI, Python, SQL",4,63.0,AngelList,2025-03-07
JOB00015,NLP Engineer,QuantumAnalytics,Education,India,South Asia,Lead,Hybrid,91500,"Power BI, PyTorch, TensorFlow",3,11.0,LinkedIn,2025-12-19
JOB00016,Business Intelligence Analyst (AI),OrbitTechnologies,Cybersecurity,Pakistan,South Asia,Lead,Remote,56000,"A/B Testing, AWS, Generative AI, Power BI, Statistics, Tableau",6,19.0,LinkedIn,2025-08-05
JOB00017,Data Engineer (AI Systems),OrbitAnalytics,Media & Entertainment,United States,North America,Entry,On-site,62000,"A/B Testing, AWS, MLOps, Prompt Engineering",4,41.0,Glassdoor,2025-04-16
JOB00018,Data Engineer (AI Systems),HelixGroup,E-commerce,UAE,Middle East,Mid,Remote,116000,"ETL, Power BI, Statistics",3,45.0,Glassdoor,2025-08-05
JOB00019,AI Product Analyst,VantageGroup,Healthcare,United Kingdom,Europe,Entry,Remote,52500,"Docker, SQL, Tableau",3,74.0,LinkedIn,2025-07-07
JOB00020,Business Intelligence Analyst (AI),HelixAnalytics,Telecom,UAE,Middle East,Senior,Remote,126500,"A/B Testing, Generative AI, MLOps",3,23.0,LinkedIn,2025-01-18
JOB00021,Machine Learning Engineer,ZenithIntelligence,Consulting,United States,North America,Lead,Remote,295000,"Docker, Statistics, scikit-learn",3,16.0,CompanyWebsite,2025-08-17
JOB00022,AI Product Analyst,DeltaSystems,Media & Entertainment,France,Europe,Senior,Hybrid,125500,"LLMs, Power BI, Prompt Engineering, SQL",4,18.0,Indeed,2025-03-26
JOB00023,MLOps Engineer,ZenithAI,Education,Pakistan,South Asia,Entry,On-site,34500,"Computer Vision, Docker, ETL, Prompt Engineering, PyTorch, Statistics",6,40.0,CompanyWebsite,2025-10-06
JOB00024,AI Research Engineer,ArcWorks,Cybersecurity,Pakistan,South Asia,Senior,Remote,89500,"A/B Testing, AWS, Prompt Engineering, SQL, Statistics",5,27.0,LinkedIn,2025-10-19
JOB00025,Applied Scientist,CortexSolutions,Cybersecurity,Canada,North America,Mid,Remote,159000,"Generative AI, MLOps, Python",3,55.0,Indeed,2025-09-05
JOB00026,Business Intelligence Analyst (AI),PrismWorks,Media & Entertainment,Poland,Europe,Lead,Remote,154500,"A/B Testing, Computer Vision, R",3,11.0,LinkedIn,2025-09-02
JOB00027,Data Engineer (AI Systems),DeltaData,E-commerce,Germany,Europe,Entry,Remote,77500,"Azure ML, NLP, Power BI, R, Statistics",5,76.0,LinkedIn,2025-05-12
JOB00028,AI Solutions Consultant,NovaSystems,E-commerce,India,South Asia,Lead,Remote,53000,"Computer Vision, ETL, Excel, Generative AI, Prompt Engineering, Python",6,12.0,Indeed,2025-04-18
JOB00029,Business Intelligence Analyst (AI),HelixIntelligence,Cybersecurity,India,South Asia,Entry,On-site,17500,"A/B Testing, ETL, Excel, Power BI, Python, R",6,36.0,CompanyWebsite,2025-09-05
JOB00030,Data Scientist,PrismData,Fintech,Singapore,Southeast Asia,Mid,Remote,67500,"Azure ML, ETL, Statistics",3,62.0,LinkedIn,2025-11-06
JOB00031,Generative AI Developer,AtlasAI,Consulting,United States,North America,Entry,Remote,117500,"Docker, Generative AI, LLMs, SQL, Tableau",5,80.0,Indeed,2025-01-06
JOB00032,Data Engineer (AI Systems),OrbitAnalytics,Telecom,United States,North America,Senior,Hybrid,175000,"A/B Testing, Excel, NLP",3,22.0,LinkedIn,2025-10-13
JOB00033,AI Research Engineer,CortexGroup,Cybersecurity,United Kingdom,Europe,Mid,Hybrid,156000,"Generative AI, LLMs, Power BI",3,30.0,Indeed,2025-11-29
JOB00034,NLP Engineer,QuantumSolutions,Telecom,United Kingdom,Europe,Mid,Hybrid,113000,"AWS, Data Visualization, Excel, MLOps, TensorFlow",5,38.0,LinkedIn,2025-06-02
JOB00035,Computer Vision Engineer,CortexWorks,Manufacturing,Pakistan,South Asia,Mid,Hybrid,43500,"Generative AI, LLMs, Prompt Engineering, Tableau",4,49.0,LinkedIn,2025-12-17
JOB00036,Business Intelligence Analyst (AI),NovaWorks,Education,India,South Asia,Entry,On-site,20000,"Azure ML, Docker, SQL, Statistics",4,37.0,LinkedIn,2025-05-02
JOB00037,Applied Scientist,AtlasWorks,Fintech,India,South Asia,Senior,Remote,69500,"ETL, LLMs, NLP, Power BI, Prompt Engineering",5,28.0,LinkedIn,2025-06-04
JOB00038,Computer Vision Engineer,PrismSystems,Media & Entertainment,Pakistan,South Asia,Entry,Remote,27000,"A/B Testing, AWS, Data Visualization, ETL, NLP",5,66.0,LinkedIn,2025-12-27
JOB00039,NLP Engineer,AtlasWorks,Fintech,India,South Asia,Mid,Hybrid,41000,"Data Visualization, Python, Statistics",3,38.0,LinkedIn,2025-03-12
JOB00040,Business Intelligence Analyst (AI),CortexWorks,Consulting,United States,North America,Entry,On-site,59500,"AWS, Data Visualization, MLOps, R, SQL",5,52.0,Indeed,2025-05-04
JOB00041,Prompt Engineer,ZenithSystems,Consulting,France,Europe,Senior,Hybrid,115000,"A/B Testing, Azure ML, Computer Vision, Power BI, Prompt Engineering",5,15.0,CompanyWebsite,2025-08-17
JOB00042,Data Scientist,AtlasAI,Telecom,United States,North America,Lead,Hybrid,255500,"AWS, NLP, PyTorch, Tableau",4,19.0,Indeed,2025-12-24
JOB00043,Business Intelligence Analyst (AI),PrismWorks,Media & Entertainment,Netherlands,Europe,Lead,Hybrid,157000,"AWS, Excel, SQL",3,6.0,AngelList,2025-07-16
JOB00044,Prompt Engineer,ZenithData,Education,India,South Asia,Senior,Hybrid,46000,"Docker, Generative AI, LLMs, Python, SQL, TensorFlow",6,18.0,LinkedIn,2025-01-11
JOB00045,AI Research Engineer,QuantumTechnologies,E-commerce,UAE,Middle East,Mid,On-site,94500,"MLOps, NLP, Power BI, PyTorch",4,25.0,LinkedIn,2025-09-05
JOB00046,Generative AI Developer,QuantumAI,Manufacturing,Brazil,South America,Entry,Hybrid,38000,"Computer Vision, Prompt Engineering, SQL",3,50.0,Indeed,2025-06-30
JOB00047,Computer Vision Engineer,AtlasGroup,E-commerce,United States,North America,Mid,Hybrid,143500,"Azure ML, Docker, ETL, Generative AI, Prompt Engineering, R",6,48.0,LinkedIn,2025-07-24
JOB00048,AI Ethics Analyst,ArcGroup,Consulting,Ireland,Europe,Mid,Remote,89000,"Data Visualization, Python, scikit-learn",3,48.0,LinkedIn,2025-07-24
JOB00049,AI Product Analyst,OrbitAI,Government,India,South Asia,Senior,On-site,49000,"Computer Vision, Excel, NLP, SQL",4,9.0,LinkedIn,2025-12-07
JOB00050,AI Research Engineer,NimbusTechnologies,Media & Entertainment,United States,North America,Mid,Hybrid,146000,"Azure ML, MLOps, NLP, SQL",4,35.0,LinkedIn,2025-03-17
JOB00051,Data Scientist,PrismSolutions,Fintech,United States,North America,Senior,Remote,168000,"Computer Vision, LLMs, scikit-learn",3,21.0,Indeed,2025-06-20
JOB00052,AI Research Engineer,VantageData,Media & Entertainment,Netherlands,Europe,Mid,Remote,119000,"AWS, Data Visualization, LLMs, Statistics",4,28.0,AngelList,2025-01-18
JOB00053,Business Intelligence Analyst (AI),HelixGroup,E-commerce,Ireland,Europe,Mid,On-site,86500,"Computer Vision, Data Visualization, Docker, Generative AI, Tableau",5,27.0,LinkedIn,2025-04-01
JOB00054,AI Solutions Consultant,PrismWorks,Manufacturing,United Kingdom,Europe,Senior,Remote,166500,"Computer Vision, Docker, MLOps, NLP, SQL, scikit-learn",6,19.0,Indeed,2025-01-07
JOB00055,NLP Engineer,NovaAnalytics,Media & Entertainment,United Kingdom,Europe,Senior,Hybrid,186500,"Azure ML, Generative AI, MLOps, SQL, Tableau",5,26.0,LinkedIn,2025-12-03
JOB00056,Data Engineer (AI Systems),VertexSolutions,Healthcare,United Kingdom,Europe,Entry,Hybrid,54500,"Excel, Python, SQL, Tableau",4,54.0,Glassdoor,2025-11-15
JOB00057,Business Intelligence Analyst (AI),DeltaGroup,Education,Pakistan,South Asia,Senior,Hybrid,35500,"Computer Vision, Generative AI, Statistics",3,20.0,Glassdoor,2025-01-13
JOB00058,Machine Learning Engineer,HelixWorks,Telecom,Singapore,Southeast Asia,Mid,Hybrid,90500,"A/B Testing, Excel, TensorFlow",3,33.0,AngelList,2025-11-29
JOB00059,Data Engineer (AI Systems),NimbusLabs,Consulting,Germany,Europe,Mid,Hybrid,111500,"AWS, Data Visualization, ETL, LLMs, NLP, SQL",6,43.0,Glassdoor,2025-01-02
JOB00060,AI Solutions Consultant,PulseSystems,Government,Germany,Europe,Senior,On-site,200000,"Computer Vision, Generative AI, LLMs, Prompt Engineering",4,14.0,LinkedIn,2025-12-07
JOB00061,Computer Vision Engineer,NimbusAI,Education,United States,North America,Entry,Hybrid,105000,"Azure ML, LLMs, SQL, Tableau, TensorFlow",5,52.0,LinkedIn,2025-06-24
JOB00062,Business Intelligence Analyst (AI),OrbitAnalytics,Fintech,United Kingdom,Europe,Entry,Hybrid,39000,"AWS, Power BI, PyTorch, SQL, TensorFlow, scikit-learn",6,78.0,Indeed,2025-11-25
JOB00063,AI Solutions Consultant,DeltaIntelligence,Education,France,Europe,Entry,On-site,60500,"LLMs, Power BI, PyTorch, SQL, Tableau",5,40.0,Indeed,2025-07-10
JOB00064,MLOps Engineer,VertexIntelligence,Government,India,South Asia,Senior,Remote,61500,"Data Visualization, MLOps, NLP, PyTorch, SQL, Tableau",6,21.0,LinkedIn,2025-06-13
JOB00065,AI Product Analyst,CortexSystems,Consulting,United Kingdom,Europe,Mid,Remote,80500,"Data Visualization, SQL, Statistics",3,49.0,LinkedIn,2025-04-30
JOB00066,AI Product Analyst,HelixData,Healthcare,Germany,Europe,Entry,Remote,65000,"A/B Testing, Docker, Generative AI, NLP, Power BI, TensorFlow",6,92.0,Indeed,2025-02-13
JOB00067,Machine Learning Engineer,PulseAI,Telecom,Germany,Europe,Mid,Remote,127000,"Azure ML, Computer Vision, Data Visualization, MLOps, Tableau, scikit-learn",6,56.0,AngelList,2025-12-06
JOB00068,AI Ethics Analyst,DeltaData,Manufacturing,India,South Asia,Entry,On-site,20500,"Prompt Engineering, PyTorch, Statistics, scikit-learn",4,35.0,Indeed,2025-06-16
JOB00069,Business Intelligence Analyst (AI),VantageGroup,Education,Singapore,Southeast Asia,Entry,Hybrid,38000,"A/B Testing, LLMs, MLOps, Prompt Engineering, SQL",5,70.0,Indeed,2025-02-03
JOB00070,MLOps Engineer,VantageGroup,Telecom,Singapore,Southeast Asia,Senior,On-site,150000,"Azure ML, Data Visualization, NLP, R, scikit-learn",5,17.0,Indeed,2025-07-24
JOB00071,NLP Engineer,VertexAnalytics,Telecom,Pakistan,South Asia,Mid,Hybrid,46000,"Azure ML, Excel, MLOps, Power BI, PyTorch, SQL",6,33.0,Indeed,2025-10-21
JOB00072,Machine Learning Engineer,VantageGroup,E-commerce,United Kingdom,Europe,Entry,Remote,83000,"Azure ML, Docker, Prompt Engineering, R, Statistics",5,80.0,CompanyWebsite,2025-04-03
JOB00073,Business Intelligence Analyst (AI),LumenIntelligence,Education,Pakistan,South Asia,Entry,Hybrid,21000,"Computer Vision, Data Visualization, Statistics, Tableau",4,60.0,CompanyWebsite,2025-11-08
JOB00074,Computer Vision Engineer,OrbitSolutions,Education,Canada,North America,Senior,On-site,184500,"AWS, Azure ML, Excel, Power BI, Prompt Engineering, TensorFlow",6,12.0,AngelList,2025-08-23
JOB00075,Computer Vision Engineer,VertexAnalytics,Telecom,Canada,North America,Senior,On-site,215000,"Docker, LLMs, scikit-learn",3,18.0,LinkedIn,2025-03-27
JOB00076,Computer Vision Engineer,NimbusData,Fintech,Brazil,South America,Entry,Remote,43000,"Excel, PyTorch, SQL, Statistics",4,71.0,Indeed,2025-10-15
JOB00077,MLOps Engineer,CortexAnalytics,Healthcare,India,South Asia,Entry,Hybrid,28500,"A/B Testing, AWS, Excel, Python",4,48.0,Indeed,2025-01-12
JOB00078,AI Solutions Consultant,NimbusWorks,E-commerce,United Kingdom,Europe,Mid,Hybrid,86500,"Azure ML, R, scikit-learn",3,37.0,Glassdoor,2025-10-26
JOB00079,Prompt Engineer,NovaAI,Consulting,Netherlands,Europe,Senior,Remote,153500,"ETL, Generative AI, Power BI, scikit-learn",4,24.0,CompanyWebsite,2025-03-24
JOB00080,AI Data Analyst,LumenLabs,Fintech,Pakistan,South Asia,Senior,Remote,31000,"A/B Testing, Generative AI, Prompt Engineering",3,24.0,CompanyWebsite,2025-02-03
JOB00081,NLP Engineer,VertexData,Media & Entertainment,France,Europe,Senior,Hybrid,138000,"A/B Testing, AWS, MLOps, Power BI, Tableau",5,25.0,LinkedIn,2025-03-01
JOB00082,AI Solutions Consultant,NovaSolutions,Cybersecurity,United States,North America,Mid,Hybrid,142000,"Data Visualization, Docker, LLMs, TensorFlow",4,34.0,CompanyWebsite,2025-08-27
JOB00083,AI Ethics Analyst,PrismWorks,Manufacturing,India,South Asia,Senior,Remote,39500,"LLMs, MLOps, PyTorch, scikit-learn",4,26.0,LinkedIn,2025-02-07
JOB00084,NLP Engineer,PrismGroup,Government,France,Europe,Entry,Hybrid,81500,"Data Visualization, Docker, Generative AI, Python, TensorFlow",5,60.0,LinkedIn,2025-11-21
JOB00085,Business Intelligence Analyst (AI),AtlasSolutions,Fintech,Canada,North America,Mid,Remote,111000,"Computer Vision, Generative AI, NLP, Power BI, SQL, Tableau",6,46.0,Glassdoor,2025-03-07
JOB00086,Computer Vision Engineer,VertexGroup,Consulting,United Kingdom,Europe,Mid,Remote,84000,"Excel, LLMs, MLOps, Power BI, Python, SQL",6,56.0,AngelList,2025-10-02
JOB00087,MLOps Engineer,PulseData,Fintech,Germany,Europe,Mid,On-site,127000,"Data Visualization, Generative AI, Power BI, Prompt Engineering, R, scikit-learn",6,29.0,Indeed,2025-10-21
JOB00088,NLP Engineer,ArcSolutions,Fintech,Canada,North America,Entry,On-site,92500,"Azure ML, Computer Vision, ETL, Excel, NLP",5,41.0,LinkedIn,2025-05-23
JOB00089,Computer Vision Engineer,LumenSolutions,Telecom,Pakistan,South Asia,Mid,Remote,45500,"AWS, Prompt Engineering, PyTorch, SQL, Tableau",5,55.0,LinkedIn,2025-10-12
JOB00090,Generative AI Developer,PulseWorks,Cybersecurity,Australia,Oceania,Mid,Hybrid,135500,"A/B Testing, Power BI, Statistics",3,40.0,AngelList,2025-01-02
JOB00091,Data Scientist,CortexGroup,Consulting,Netherlands,Europe,Mid,Remote,94500,"Docker, Generative AI, NLP, R, SQL, Statistics",6,42.0,Glassdoor,2025-02-24
JOB00092,Applied Scientist,NimbusIntelligence,Manufacturing,Germany,Europe,Entry,On-site,65000,"Excel, LLMs, MLOps, Statistics",4,35.0,Indeed,2025-06-02
JOB00093,Machine Learning Engineer,ZenithTechnologies,E-commerce,United Kingdom,Europe,Senior,Remote,145000,"ETL, Excel, Generative AI, Tableau",4,25.0,Indeed,2025-10-15
JOB00094,Data Scientist,NimbusSolutions,Manufacturing,United States,North America,Mid,Remote,142500,"Docker, MLOps, NLP, R, SQL, TensorFlow",6,48.0,LinkedIn,2025-06-06
JOB00095,Computer Vision Engineer,NovaWorks,Cybersecurity,Australia,Oceania,Entry,Hybrid,87500,"Azure ML, Python, Statistics, scikit-learn",4,69.0,LinkedIn,2025-04-13
JOB00096,AI Product Analyst,QuantumWorks,Media & Entertainment,Singapore,Southeast Asia,Mid,Hybrid,52500,"Azure ML, PyTorch, TensorFlow, scikit-learn",4,29.0,LinkedIn,2025-12-18
JOB00097,AI Product Analyst,VantageIntelligence,Consulting,Brazil,South America,Senior,On-site,73000,"ETL, Generative AI, NLP, Prompt Engineering",4,14.0,LinkedIn,2025-06-09
JOB00098,Computer Vision Engineer,AtlasGroup,Media & Entertainment,United Kingdom,Europe,Mid,Remote,110000,"Data Visualization, Statistics, Tableau",3,41.0,Glassdoor,2025-01-13
JOB00099,Generative AI Developer,HelixTechnologies,E-commerce,France,Europe,Lead,On-site,234000,"Data Visualization, Power BI, SQL, Tableau",4,9.0,LinkedIn,2025-05-13
JOB00100,MLOps Engineer,LumenTechnologies,Healthcare,Australia,Oceania,Mid,On-site,153500,"ETL, MLOps, R, Statistics, Tableau",5,22.0,LinkedIn,2025-09-20
JOB00101,Business Intelligence Analyst (AI),ArcLabs,Manufacturing,France,Europe,Mid,On-site,88500,"Docker, MLOps, NLP, PyTorch, R, SQL",6,27.0,Indeed,2025-08-06
JOB00102,Business Intelligence Analyst (AI),ZenithIntelligence,Media & Entertainment,United States,North America,Senior,Hybrid,135000,"AWS, MLOps, NLP, R, Tableau, scikit-learn",6,18.0,Indeed,2025-12-16
JOB00103,Computer Vision Engineer,AtlasSystems,Manufacturing,India,South Asia,Mid,Remote,46000,"Excel, NLP, Power BI, Tableau",4,41.0,Glassdoor,2025-09-24
JOB00104,NLP Engineer,VertexAI,Healthcare,France,Europe,Senior,On-site,201000,"Azure ML, Computer Vision, LLMs, R, Tableau",5,15.0,LinkedIn,2025-02-16
JOB00105,MLOps Engineer,PulseAnalytics,Telecom,India,South Asia,Senior,On-site,59000,"NLP, Tableau, TensorFlow, scikit-learn",4,11.0,Indeed,2025-05-05
JOB00106,NLP Engineer,PrismGroup,Media & Entertainment,United Kingdom,Europe,Entry,Hybrid,65000,"A/B Testing, AWS, Prompt Engineering, SQL",4,63.0,LinkedIn,2025-08-23
JOB00107,Business Intelligence Analyst (AI),QuantumAI,Media & Entertainment,Netherlands,Europe,Entry,Remote,54500,"Azure ML, Generative AI, LLMs, NLP",4,69.0,Indeed,2025-12-27
JOB00108,Generative AI Developer,NimbusAnalytics,Healthcare,Brazil,South America,Senior,On-site,106500,"A/B Testing, AWS, Excel, MLOps",4,12.0,LinkedIn,2025-07-22
JOB00109,AI Ethics Analyst,VantageGroup,Fintech,Australia,Oceania,Mid,On-site,86000,"A/B Testing, Azure ML, PyTorch, Tableau, TensorFlow",5,33.0,Glassdoor,2025-04-19
JOB00110,NLP Engineer,VantageIntelligence,Cybersecurity,Australia,Oceania,Entry,Hybrid,87500,"AWS, Computer Vision, Generative AI, MLOps",4,53.0,LinkedIn,2025-03-19
JOB00111,AI Ethics Analyst,ArcLabs,Fintech,Germany,Europe,Senior,Remote,109500,"AWS, Computer Vision, Data Visualization, LLMs, NLP",5,24.0,LinkedIn,2025-02-18
JOB00112,Applied Scientist,ZenithLabs,Cybersecurity,Canada,North America,Senior,On-site,207500,"A/B Testing, Computer Vision, Tableau",3,18.0,Indeed,2025-04-16
JOB00113,Machine Learning Engineer,NimbusAI,E-commerce,United States,North America,Lead,Hybrid,220000,"NLP, Python, SQL, Tableau, TensorFlow",5,13.0,LinkedIn,2025-02-28
JOB00114,Applied Scientist,AtlasData,Healthcare,France,Europe,Senior,On-site,222500,"Docker, Prompt Engineering, R, TensorFlow, scikit-learn",5,11.0,LinkedIn,2025-05-24
JOB00115,AI Research Engineer,CortexAI,Manufacturing,United States,North America,Senior,On-site,245500,"Computer Vision, NLP, Statistics",3,13.0,Glassdoor,2025-08-28
JOB00116,NLP Engineer,ZenithTechnologies,Telecom,India,South Asia,Mid,On-site,45000,"A/B Testing, MLOps, R, Tableau, TensorFlow, scikit-learn",6,31.0,LinkedIn,2025-03-22
JOB00117,Business Intelligence Analyst (AI),NimbusWorks,Fintech,United Kingdom,Europe,Senior,Remote,125000,"Generative AI, Prompt Engineering, PyTorch, Python, R, scikit-learn",6,26.0,LinkedIn,2025-04-19
JOB00118,AI Research Engineer,NovaSystems,Telecom,Canada,North America,Entry,On-site,78000,"Azure ML, ETL, LLMs, Power BI, Prompt Engineering",5,53.0,Indeed,2025-03-15
JOB00119,AI Solutions Consultant,QuantumAI,Manufacturing,United States,North America,Lead,On-site,215000,"ETL, Power BI, PyTorch, SQL, Statistics, TensorFlow",6,11.0,AngelList,2025-02-01
JOB00120,Data Scientist,DeltaLabs,Media & Entertainment,India,South Asia,Entry,Remote,22500,"ETL, R, Statistics",3,84.0,CompanyWebsite,2025-01-29
JOB00121,MLOps Engineer,VantageData,Government,Singapore,Southeast Asia,Entry,Hybrid,65500,"Computer Vision, Generative AI, MLOps, Tableau",4,65.0,LinkedIn,2025-04-30
JOB00122,Machine Learning Engineer,LumenTechnologies,Cybersecurity,Germany,Europe,Mid,Remote,162500,"AWS, Data Visualization, TensorFlow",3,55.0,Indeed,2025-07-18
JOB00123,Machine Learning Engineer,HelixGroup,Government,Australia,Oceania,Mid,Hybrid,158000,"Computer Vision, Generative AI, SQL",3,38.0,Indeed,2025-07-07
JOB00124,AI Solutions Consultant,QuantumGroup,Healthcare,Germany,Europe,Entry,Remote,67000,"Azure ML, Generative AI, NLP",3,79.0,LinkedIn,2025-01-12
JOB00125,AI Solutions Consultant,DeltaSystems,Healthcare,Poland,Europe,Mid,Hybrid,101000,"PyTorch, Statistics, TensorFlow",3,33.0,LinkedIn,2025-02-26
JOB00126,AI Research Engineer,NovaSystems,Fintech,United Kingdom,Europe,Mid,On-site,133500,"AWS, Data Visualization, MLOps, NLP, TensorFlow, scikit-learn",6,33.0,Indeed,2025-04-21
JOB00127,Data Engineer (AI Systems),NimbusAnalytics,Manufacturing,France,Europe,Mid,Hybrid,125500,"LLMs, NLP, Power BI, Prompt Engineering, PyTorch, scikit-learn",6,44.0,LinkedIn,2025-01-21
JOB00128,AI Data Analyst,VantageTechnologies,Consulting,United Kingdom,Europe,Entry,Hybrid,44500,"Azure ML, Docker, Generative AI, Python",4,63.0,LinkedIn,2025-02-26
JOB00129,Computer Vision Engineer,VantageGroup,Fintech,India,South Asia,Senior,Remote,71500,"Excel, Prompt Engineering, Statistics, Tableau",4,25.0,LinkedIn,2025-02-21
JOB00130,Business Intelligence Analyst (AI),NovaAnalytics,Healthcare,United Kingdom,Europe,Entry,Remote,51500,"Computer Vision, Generative AI, R, scikit-learn",4,86.0,Glassdoor,2025-10-10
JOB00131,Generative AI Developer,HelixIntelligence,Telecom,Poland,Europe,Entry,Remote,68000,"Computer Vision, SQL, Tableau",3,97.0,LinkedIn,2025-07-26
JOB00132,AI Ethics Analyst,VantageWorks,Healthcare,Brazil,South America,Senior,On-site,46500,"Data Visualization, Generative AI, MLOps, Prompt Engineering, SQL",5,17.0,LinkedIn,2025-02-25
JOB00133,Data Scientist,OrbitAI,Consulting,Netherlands,Europe,Mid,Remote,98500,"A/B Testing, NLP, Tableau",3,63.0,AngelList,2025-09-23
JOB00134,AI Research Engineer,VantageData,Media & Entertainment,UAE,Middle East,Mid,On-site,104500,"ETL, Power BI, PyTorch",3,22.0,Indeed,2025-12-26
JOB00135,Generative AI Developer,OrbitAnalytics,Education,United States,North America,Mid,On-site,122000,"AWS, Azure ML, Generative AI",3,40.0,LinkedIn,2025-01-13
JOB00136,Machine Learning Engineer,AtlasLabs,E-commerce,Singapore,Southeast Asia,Mid,Remote,101500,"ETL, Prompt Engineering, scikit-learn",3,47.0,Glassdoor,2025-06-10
JOB00137,MLOps Engineer,PulseAnalytics,Fintech,Poland,Europe,Mid,Hybrid,122000,"LLMs, NLP, TensorFlow, scikit-learn",4,39.0,LinkedIn,2025-01-03
JOB00138,AI Data Analyst,CortexData,Media & Entertainment,France,Europe,Mid,Hybrid,69000,"ETL, Python, scikit-learn",3,34.0,Glassdoor,2025-10-06
JOB00139,NLP Engineer,CortexWorks,Cybersecurity,Brazil,South America,Entry,Hybrid,48500,"Data Visualization, ETL, PyTorch, Python, SQL, Tableau",6,50.0,Indeed,2025-01-02
JOB00140,AI Solutions Consultant,OrbitIntelligence,Manufacturing,United Kingdom,Europe,Mid,Remote,100000,"A/B Testing, Data Visualization, PyTorch, Statistics",4,48.0,AngelList,2025-11-09
JOB00141,Generative AI Developer,VantageTechnologies,Education,France,Europe,Lead,Remote,232000,"AWS, Generative AI, NLP, TensorFlow",4,10.0,LinkedIn,2025-07-04
JOB00142,Computer Vision Engineer,AtlasIntelligence,Healthcare,India,South Asia,Mid,Remote,48000,"AWS, Azure ML, Computer Vision, ETL, Python, scikit-learn",6,54.0,Indeed,2025-03-28
JOB00143,Applied Scientist,NovaLabs,Cybersecurity,Poland,Europe,Senior,Hybrid,249500,"Data Visualization, Docker, Generative AI, Power BI, Prompt Engineering",5,28.0,AngelList,2025-05-07
JOB00144,AI Data Analyst,ZenithAI,Consulting,United States,North America,Entry,Remote,43000,"Data Visualization, LLMs, NLP",3,72.0,LinkedIn,2025-05-04
JOB00145,AI Research Engineer,DeltaData,E-commerce,India,South Asia,Lead,On-site,91000,"Azure ML, ETL, PyTorch, Python, R, SQL",6,8.0,Indeed,2025-02-14
JOB00146,AI Ethics Analyst,NovaIntelligence,Education,India,South Asia,Mid,On-site,33000,"Docker, Python, R",3,26.0,LinkedIn,2025-04-07
JOB00147,Data Scientist,LumenGroup,E-commerce,Singapore,Southeast Asia,Mid,Remote,80000,"NLP, Prompt Engineering, SQL, TensorFlow",4,47.0,Indeed,2025-08-10
